timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699802799134,638,Get Categories By Id,200,OK,Secondhand 1-8,text,true,,734,146,20,20,https://secondhand.binaracademy.org/categories/2.json,638,0,0
1699802799031,796,Get ProductsId,200,OK,Secondhand 1-3,text,true,,2374,392,20,20,https://secondhand.binaracademy.org/products/27.json,796,0,0
1699802798813,1015,Get Products,200,OK,Secondhand 1-15,text,true,,13320,389,20,20,https://secondhand.binaracademy.org/products.json,1015,0,0
1699802798610,1218,Get Products,200,OK,Secondhand 1-6,text,true,,13295,389,20,20,https://secondhand.binaracademy.org/products.json,1218,0,0
1699802799031,836,Get Products,200,OK,Secondhand 1-17,text,true,,13324,389,20,20,https://secondhand.binaracademy.org/products.json,836,0,0
1699802799336,623,Get ProductsId,200,OK,Secondhand 1-14,text,true,,2376,392,20,20,https://secondhand.binaracademy.org/products/27.json,623,0,0
1699802799029,931,Sign_in Buyer,200,OK,Secondhand 1-20,text,true,,2046,301,20,20,https://secondhand.binaracademy.org/users/sign_in.json,931,0,0
1699802799414,636,Get Categories By Id,200,OK,Secondhand 1-10,text,true,,734,146,20,20,https://secondhand.binaracademy.org/categories/2.json,636,0,0
1699802799417,670,Get ProductsId,200,OK,Secondhand 1-5,text,true,,2378,392,20,20,https://secondhand.binaracademy.org/products/27.json,670,0,0
1699802799336,822,Get Products,200,OK,Secondhand 1-4,text,true,,13314,389,20,20,https://secondhand.binaracademy.org/products.json,822,0,0
1699802799135,1024,Create Products,201,Created,Secondhand 1-11,text,true,,2186,15181,20,20,https://secondhand.binaracademy.org/products.json,1024,0,0
1699802799444,795,Get Categories,200,OK,Secondhand 1-19,text,true,,1070,144,20,20,https://secondhand.binaracademy.org/categories.json,795,0,0
1699802799502,737,Get Categories By Id,200,OK,Secondhand 1-13,text,true,,734,146,20,20,https://secondhand.binaracademy.org/categories/2.json,737,0,0
1699802799135,1145,Create Products,201,Created,Secondhand 1-2,text,true,,2184,15181,20,20,https://secondhand.binaracademy.org/products.json,1145,0,0
1699802799416,864,Get Products,200,OK,Secondhand 1-18,text,true,,13324,389,20,20,https://secondhand.binaracademy.org/products.json,864,0,0
1699802799528,809,Get Products,200,OK,Secondhand 1-16,text,true,,13328,389,20,20,https://secondhand.binaracademy.org/products.json,809,0,0
1699802799335,1114,Create Products,201,Created,Secondhand 1-7,text,true,,2190,15205,20,20,https://secondhand.binaracademy.org/products.json,1114,0,0
1699802799773,878,Get Products,200,OK,Secondhand 1-8,text,true,,13320,389,20,20,https://secondhand.binaracademy.org/products.json,878,0,0
1699802799829,866,Get ProductsId,200,OK,Secondhand 1-15,text,true,,2380,392,20,20,https://secondhand.binaracademy.org/products/27.json,866,0,0
1699802799711,984,Create Products,201,Created,Secondhand 1-1,text,true,,2197,15245,20,20,https://secondhand.binaracademy.org/products.json,984,0,0
1699802799712,1030,Create Products,201,Created,Secondhand 1-9,text,true,,2190,15197,20,20,https://secondhand.binaracademy.org/products.json,1030,0,0
1699802799712,1059,Create Products,201,Created,Secondhand 1-12,text,true,,2188,15189,20,20,https://secondhand.binaracademy.org/products.json,1059,0,0
1699802799961,810,Get Categories,200,OK,Secondhand 1-20,text,true,,1070,144,20,20,https://secondhand.binaracademy.org/categories.json,810,0,0
1699802799829,1008,Get ProductsId,200,OK,Secondhand 1-6,text,true,,2370,392,20,20,https://secondhand.binaracademy.org/products/27.json,1008,0,0
1699802799868,970,Get ProductsId,200,OK,Secondhand 1-17,text,true,,2372,392,20,20,https://secondhand.binaracademy.org/products/27.json,970,0,0
1699802800050,900,Get Products,200,OK,Secondhand 1-10,text,true,,13305,389,20,20,https://secondhand.binaracademy.org/products.json,900,0,0
1699802800159,881,Update  Products,200,OK,Secondhand 1-11,text,true,,1777,620,20,20,https://secondhand.binaracademy.org/products/58677.json,881,0,0
1699802800239,913,Get Categories By Id,200,OK,Secondhand 1-19,text,true,,734,146,20,20,https://secondhand.binaracademy.org/categories/2.json,913,0,0
1699802799828,1324,Create Products,201,Created,Secondhand 1-3,text,true,,2201,15173,20,20,https://secondhand.binaracademy.org/products.json,1324,0,0
1699802800159,993,Get ProductsId,200,OK,Secondhand 1-4,text,true,,2386,392,20,20,https://secondhand.binaracademy.org/products/27.json,993,0,0
1699802799960,1283,Create Products,201,Created,Secondhand 1-14,text,true,,2199,15165,20,20,https://secondhand.binaracademy.org/products.json,1283,0,0
1699802800281,992,Get ProductsId,200,OK,Secondhand 1-18,text,true,,2370,392,20,20,https://secondhand.binaracademy.org/products/27.json,992,0,0
1699802800281,1093,Update  Products,200,OK,Secondhand 1-2,text,true,,1785,620,20,20,https://secondhand.binaracademy.org/products/58678.json,1093,0,0
1699802800087,1287,Create Products,201,Created,Secondhand 1-5,text,true,,2193,15197,20,20,https://secondhand.binaracademy.org/products.json,1287,0,0
1699802800338,1126,Get ProductsId,200,OK,Secondhand 1-16,text,true,,2363,392,20,20,https://secondhand.binaracademy.org/products/27.json,1126,0,0
1699802800652,813,Get ProductsId,200,OK,Secondhand 1-8,text,true,,2371,392,20,20,https://secondhand.binaracademy.org/products/27.json,813,0,0
1699802800450,1103,Update  Products,200,OK,Secondhand 1-7,text,true,,1789,620,20,20,https://secondhand.binaracademy.org/products/58679.json,1103,0,0
1699802800771,784,Get Categories By Id,200,OK,Secondhand 1-20,text,true,,734,146,20,20,https://secondhand.binaracademy.org/categories/2.json,784,0,0
1699802800742,813,Update  Products,200,OK,Secondhand 1-9,text,true,,1779,620,20,20,https://secondhand.binaracademy.org/products/58681.json,813,0,0
1699802800239,1316,Get Products,200,OK,Secondhand 1-13,text,true,,13318,389,20,20,https://secondhand.binaracademy.org/products.json,1316,0,0
1699802800696,908,Update  Products,200,OK,Secondhand 1-1,text,true,,1789,620,20,20,https://secondhand.binaracademy.org/products/58680.json,908,0,77
1699802800771,895,Update  Products,200,OK,Secondhand 1-12,text,true,,1775,620,20,20,https://secondhand.binaracademy.org/products/58682.json,895,0,0
1699802800951,715,Get ProductsId,200,OK,Secondhand 1-10,text,true,,2371,392,20,20,https://secondhand.binaracademy.org/products/27.json,715,0,0
1699802801041,729,Create Offers,201,Created,Secondhand 1-11,text,true,,2686,529,20,20,https://secondhand.binaracademy.org/offers.json,729,0,0
1699802800695,1076,Create Products,201,Created,Secondhand 1-15,text,true,,2185,15221,20,20,https://secondhand.binaracademy.org/products.json,1076,0,0
1699802801153,734,Update  Products,200,OK,Secondhand 1-3,text,true,,1783,620,20,20,https://secondhand.binaracademy.org/products/58683.json,734,0,124
1699802801153,745,Get Products,200,OK,Secondhand 1-19,text,true,,13299,389,20,20,https://secondhand.binaracademy.org/products.json,745,0,0
1699802801244,727,Update  Products,200,OK,Secondhand 1-14,text,true,,1791,620,20,20,https://secondhand.binaracademy.org/products/58684.json,727,0,134
1699802800838,1175,Create Products,201,Created,Secondhand 1-17,text,true,,2195,15165,20,20,https://secondhand.binaracademy.org/products.json,1175,0,0
1699802800838,1179,Create Products,201,Created,Secondhand 1-6,text,true,,2199,15173,20,20,https://secondhand.binaracademy.org/products.json,1179,0,116
1699802801375,745,Create Offers,201,Created,Secondhand 1-2,text,true,,2699,529,20,20,https://secondhand.binaracademy.org/offers.json,745,0,182
1699802801375,745,Update  Products,200,OK,Secondhand 1-5,text,true,,1781,620,20,20,https://secondhand.binaracademy.org/products/58685.json,745,0,180
1699802801604,578,Create Offers,201,Created,Secondhand 1-1,text,true,,2709,529,20,20,https://secondhand.binaracademy.org/offers.json,578,0,0
1699802801274,963,Create Products,201,Created,Secondhand 1-18,text,true,,2192,15197,20,20,https://secondhand.binaracademy.org/products.json,963,0,0
1699802801556,681,Get ProductsId,200,OK,Secondhand 1-13,text,true,,2374,392,20,20,https://secondhand.binaracademy.org/products/27.json,681,0,112
1699802801553,730,Create Offers,201,Created,Secondhand 1-7,text,true,,2686,529,20,20,https://secondhand.binaracademy.org/offers.json,730,0,115
1699802801556,824,Create Offers,201,Created,Secondhand 1-9,text,true,,2694,529,20,20,https://secondhand.binaracademy.org/offers.json,824,0,112
1699802801466,1044,Create Products,201,Created,Secondhand 1-8,text,true,,2197,15173,20,20,https://secondhand.binaracademy.org/products.json,1044,0,141
1699802801555,955,Get Products,200,OK,Secondhand 1-20,text,true,,13318,389,20,20,https://secondhand.binaracademy.org/products.json,955,0,113
1699802801466,1122,Create Products,201,Created,Secondhand 1-16,text,true,,2189,15189,20,20,https://secondhand.binaracademy.org/products.json,1122,0,143
1699802801771,921,Update  Products,200,OK,Secondhand 1-15,text,true,,1781,620,20,20,https://secondhand.binaracademy.org/products/58686.json,921,0,140
1699802801888,804,Create Offers,201,Created,Secondhand 1-3,text,true,,2697,529,20,20,https://secondhand.binaracademy.org/offers.json,804,0,0
1699802801667,1114,Create Offers,201,Created,Secondhand 1-12,text,true,,2693,529,20,20,https://secondhand.binaracademy.org/offers.json,1114,0,108
1699802801153,1746,Create Products,201,Created,Secondhand 1-4,text,true,,2191,15237,20,20,https://secondhand.binaracademy.org/products.json,1746,0,123
1699802802017,1019,Update  Products,200,OK,Secondhand 1-6,text,true,,1789,620,20,20,https://secondhand.binaracademy.org/products/58688.json,1019,0,0
1699802801771,1266,Get Offers,200,OK,Secondhand 1-11,text,true,,17020,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1265,0,140
1699802801972,1128,Create Offers,201,Created,Secondhand 1-14,text,true,,2699,529,20,20,https://secondhand.binaracademy.org/offers.json,1128,0,0
1699802802014,1086,Update  Products,200,OK,Secondhand 1-17,text,true,,1779,620,20,20,https://secondhand.binaracademy.org/products/58687.json,1086,0,34
1699802801899,1406,Get ProductsId,200,OK,Secondhand 1-19,text,true,,2359,392,20,20,https://secondhand.binaracademy.org/products/27.json,1406,0,35
1699802801667,1740,Create Products,201,Created,Secondhand 1-10,text,true,,2192,15189,20,20,https://secondhand.binaracademy.org/products.json,1740,0,108
1699802802121,1350,Create Offers,201,Created,Secondhand 1-5,text,true,,2694,529,20,20,https://secondhand.binaracademy.org/offers.json,1350,0,0
1699802802121,1594,Get Offers,200,OK,Secondhand 1-2,text,true,,17017,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1594,0,0
1699802802183,1576,Get Offers,200,OK,Secondhand 1-1,text,true,,17009,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1576,0,0
1699802802283,1476,Get Offers,200,OK,Secondhand 1-7,text,true,,17015,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1476,0,0
1699802802238,1708,Update  Products,200,OK,Secondhand 1-18,text,true,,1795,620,20,20,https://secondhand.binaracademy.org/products/58689.json,1708,0,90
1699802802511,1472,Get ProductsId,200,OK,Secondhand 1-20,text,true,,2369,392,20,20,https://secondhand.binaracademy.org/products/27.json,1472,0,0
1699802802380,1603,Get Offers,200,OK,Secondhand 1-9,text,true,,17006,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1603,0,0
1699802802238,1822,Create Products,201,Created,Secondhand 1-13,text,true,,2199,15165,20,20,https://secondhand.binaracademy.org/products.json,1822,0,0
1699802802511,1550,Update  Products,200,OK,Secondhand 1-8,text,true,,1785,620,20,20,https://secondhand.binaracademy.org/products/58690.json,1550,0,0
1699802802589,1539,Update  Products,200,OK,Secondhand 1-16,text,true,,1787,620,20,20,https://secondhand.binaracademy.org/products/58691.json,1539,0,0
1699802802692,1525,Create Offers,201,Created,Secondhand 1-15,text,true,,2694,529,20,20,https://secondhand.binaracademy.org/offers.json,1525,0,0
1699802802693,1764,Get Offers,200,OK,Secondhand 1-3,text,true,,17016,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1764,0,0
1699802802900,1557,Update  Products,200,OK,Secondhand 1-4,text,true,,1779,620,20,20,https://secondhand.binaracademy.org/products/58692.json,1557,0,0
1699802802782,1780,Get Offers,200,OK,Secondhand 1-12,text,true,,17012,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1780,0,0
1699802803037,1525,Update Offers,200,OK,Secondhand 1-11,text,true,,2685,494,20,20,https://secondhand.binaracademy.org/offers/46042.json,1525,0,0
1699802803037,1525,Create Offers,201,Created,Secondhand 1-6,text,true,,2701,529,20,20,https://secondhand.binaracademy.org/offers.json,1525,0,0
1699802803103,1558,Create Offers,201,Created,Secondhand 1-17,text,true,,2701,529,20,20,https://secondhand.binaracademy.org/offers.json,1558,0,0
1699802803408,1354,Update  Products,200,OK,Secondhand 1-10,text,true,,1785,620,20,20,https://secondhand.binaracademy.org/products/58693.json,1354,0,0
1699802803102,1703,Get Offers,200,OK,Secondhand 1-14,text,true,,17015,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1703,0,0
1699802803716,1225,Update Offers,200,OK,Secondhand 1-2,text,true,,2694,494,20,20,https://secondhand.binaracademy.org/offers/46043.json,1225,0,0
1699802803760,1221,Update Offers,200,OK,Secondhand 1-1,text,true,,2701,494,20,20,https://secondhand.binaracademy.org/offers/46044.json,1221,0,0
1699802803760,1282,Update Offers,200,OK,Secondhand 1-7,text,true,,2695,494,20,20,https://secondhand.binaracademy.org/offers/46045.json,1282,0,0
1699802803984,1106,Update Offers,200,OK,Secondhand 1-9,text,true,,2690,494,20,20,https://secondhand.binaracademy.org/offers/46046.json,1106,0,0
1699802803471,1619,Get Offers,200,OK,Secondhand 1-5,text,true,,17015,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1619,0,0
1699802803306,1854,Create Products,201,Created,Secondhand 1-19,text,true,,2193,15213,20,20,https://secondhand.binaracademy.org/products.json,1854,0,0
1699802803946,1214,Create Offers,201,Created,Secondhand 1-18,text,true,,2693,529,20,20,https://secondhand.binaracademy.org/offers.json,1214,0,0
1699802804062,1176,Create Offers,201,Created,Secondhand 1-8,text,true,,2705,529,20,20,https://secondhand.binaracademy.org/offers.json,1176,0,0
1699802804061,1177,Update  Products,200,OK,Secondhand 1-13,text,true,,1781,620,20,20,https://secondhand.binaracademy.org/products/58694.json,1177,0,0
1699802804128,1110,Create Offers,201,Created,Secondhand 1-16,text,true,,2694,529,20,20,https://secondhand.binaracademy.org/offers.json,1110,0,0
1699802804457,894,Update Offers,200,OK,Secondhand 1-3,text,true,,2680,494,20,20,https://secondhand.binaracademy.org/offers/46048.json,894,0,0
1699802804457,1099,Create Offers,201,Created,Secondhand 1-4,text,true,,2686,529,20,20,https://secondhand.binaracademy.org/offers.json,1099,0,0
1699802804562,1089,Get Profile,200,OK,Secondhand 1-11,text,true,,1424,421,20,20,https://secondhand.binaracademy.org/profiles.json,1088,0,0
1699802804218,1432,Get Offers,200,OK,Secondhand 1-15,text,true,,17017,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1432,0,0
1699802803984,1666,Create Products,201,Created,Secondhand 1-20,text,true,,2187,15213,20,20,https://secondhand.binaracademy.org/products.json,1666,0,0
1699802804562,1126,Update Offers,200,OK,Secondhand 1-12,text,true,,2695,494,20,20,https://secondhand.binaracademy.org/offers/46047.json,1126,0,0
1699802804763,1063,Create Offers,201,Created,Secondhand 1-10,text,true,,2689,529,20,20,https://secondhand.binaracademy.org/offers.json,1063,0,0
1699802804941,894,Get Profile,200,OK,Secondhand 1-2,text,true,,1430,421,20,20,https://secondhand.binaracademy.org/profiles.json,894,0,0
1699802804563,1325,Get Offers,200,OK,Secondhand 1-6,text,true,,17012,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1325,0,0
1699802804805,1166,Update Offers,200,OK,Secondhand 1-14,text,true,,2693,494,20,20,https://secondhand.binaracademy.org/offers/46049.json,1166,0,0
1699802804982,989,Get Profile,200,OK,Secondhand 1-1,text,true,,1426,421,20,20,https://secondhand.binaracademy.org/profiles.json,989,0,0
1699802805090,970,Get Profile,200,OK,Secondhand 1-9,text,true,,1420,421,20,20,https://secondhand.binaracademy.org/profiles.json,970,0,0
1699802805043,1017,Get Profile,200,OK,Secondhand 1-7,text,true,,1422,421,20,20,https://secondhand.binaracademy.org/profiles.json,1017,0,0
1699802805091,1004,Update Offers,200,OK,Secondhand 1-5,text,true,,2697,494,20,20,https://secondhand.binaracademy.org/offers/46050.json,1004,0,0
1699802804662,1434,Get Offers,200,OK,Secondhand 1-17,text,true,,17014,431,20,20,https://secondhand.binaracademy.org/users/87185/offers.json,1434,0,0
1699802805160,1015,Update  Products,200,OK,Secondhand 1-19,text,true,,1775,620,20,20,https://secondhand.binaracademy.org/products/58695.json,1015,0,0
1699802805238,1231,Create Offers,201,Created,Secondhand 1-13,text,true,,2689,529,20,20,https://secondhand.binaracademy.org/offers.json,1231,0,0
1699802805351,1143,Get Profile,200,OK,Secondhand 1-3,text,true,,1414,421,20,20,https://secondhand.binaracademy.org/profiles.json,1143,0,0
